address,latitude,longitude,status,original_index
91XX TEASLEY LN DENTON TX ,33.1678163,-97.1103429,VALID,0.0
32XX N LOCUST ST DENTON TX ,33.256469,-97.1316417,VALID,1.0
26XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,2.0
7XX FORT WORTH DR DENTON TX ,33.1675471,-97.1532309,VALID,3.0
30XX HOWARD CT DENTON TX ,33.22551,-97.0989711,VALID,4.0
27XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,5.0
5XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,6.0
15XX MEADOW ST DENTON TX ,33.1986625,-97.134764,VALID,7.0
75XX TEASLEY LN DENTON TX ,33.1678163,-97.1103429,VALID,8.0
2XX INMAN ST DENTON TX ,33.1986254,-97.1321003,VALID,9.0
16XX TEASLEY LN DENTON TX ,33.1678163,-97.1103429,VALID,10.0
22XX S I 35 E DENTON TX ,33.1814754,-97.102065,VALID,11.0
20XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,12.0
51XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,13.0
14XX MISTY HOLLOW ST DENTON TX ,33.2305226,-97.0957351,VALID,14.0
6XX E HICKORY ST DENTON TX ,33.2144196,-97.1253362,VALID,15.0
W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,16.0
11XX EGAN ST DENTON TX ,33.2203978,-97.1422526,VALID,17.0
DATA SUPPRESSED,,,NOT_FOUND,18.0
I 35 W DENTON COUNTY TX ,33.1010526,-97.224088,VALID,19.0
W HICKORY ST DENTON TX ,33.2146565,-97.1475676,VALID,20.0
24XX STOCKBRIDGE RD DENTON TX ,33.1839991,-97.0916819,VALID,21.0
38XX ATLAS DR DENTON TX ,33.2550754,-97.1245216,VALID,22.0
78XX ALDERS GATE LN DENTON TX ,33.1707863,-97.0588861,VALID,23.0
23XX E UNIVERSITY DR DENTON TX ,33.2345383,-97.0783176,VALID,24.0
4XX AME DR DENTON TX ,33.258715,-97.1331765,VALID,25.0
23XX LOON LAKE RD DENTON TX ,33.1745164,-97.1068236,VALID,26.0
35XX S I 35 E DENTON TX ,33.1814754,-97.102065,VALID,27.0
3XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,28.0
7XX CAMPBELL LN DENTON TX ,33.2181214,-97.1125522,VALID,29.0
12XX CORDELL ST DENTON TX ,33.2266141,-97.1471889,VALID,30.0
15XX S LOOP 288 DENTON TX ,33.1970392,-97.0919826,VALID,31.0
27XX COLORADO BLVD DENTON TX ,33.1875187,-97.1026425,VALID,32.0
10XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,33.0
18XX S LOOP 288 DENTON TX ,33.1970392,-97.0919826,VALID,34.0
9XX DIXON LN DENTON TX ,33.2577927,-97.1190785,VALID,35.0
26XX EDWARDS RD DENTON TX ,33.1780772,-97.0726157,VALID,36.0
14XX AMHERST DR DENTON TX ,33.2313075,-97.149459,VALID,37.0
46XX S BONNIE BRAE ST DENTON TX ,33.1837027,-97.1641773,VALID,38.0
13XX SCRIPTURE ST DENTON TX ,33.2188813,-97.1575335,VALID,39.0
5XX JANNIE ST DENTON TX ,33.2180124,-97.1154125,VALID,40.0
33XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,41.0
7XX W CONGRESS ST DENTON TX ,33.219372,-97.1407651,VALID,42.0
10XX FANNIN ST DENTON TX ,33.2053796,-97.1451123,VALID,43.0
23XX I 35 W DENTON TX ,33.1648139,-97.1855749,VALID,44.0
53XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,45.0
18XX FORT WORTH DR DENTON TX ,33.1675471,-97.1532309,VALID,46.0
19XX N RUDDELL ST DENTON TX ,33.222033,-97.1178217,VALID,47.0
TEASLEY LN DENTON TX ,33.1678163,-97.1103429,VALID,48.0
E PRAIRIE ST DENTON TX ,33.2105793,-97.1259592,VALID,49.0
5XX NEPTUNE DR DENTON TX ,33.25958,-97.12503,VALID,50.0
40XX TEASLEY LN DENTON TX ,33.1678163,-97.1103429,VALID,51.0
6XX BERNARD ST DENTON TX ,33.2010666,-97.1416274,VALID,52.0
9XX MANHATTAN DR DENTON TX ,33.2471244,-97.1195215,VALID,53.0
26XX W OAK ST DENTON TX ,33.2157359,-97.1545246,VALID,54.0
5XX INMAN ST DENTON TX ,33.1986254,-97.1321003,VALID,55.0
6XX LONDONDERRY LN DENTON TX ,33.1899152,-97.1257002,VALID,56.0
1XX AVE A DENTON TX ,33.2083388,-97.1462368,VALID,57.0
BRADLEY ST DENTON TX ,33.217931,-97.1539703,VALID,58.0
8XX ROSE ST DENTON TX ,33.2199077,-97.1230931,VALID,59.0
25XX W PRAIRIE ST DENTON TX ,33.2108511,-97.1550899,VALID,60.0
11XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,61.0
22XX S LOOP 288 DENTON TX ,33.1970392,-97.0919826,VALID,62.0
32XX OCEAN DR DENTON TX ,33.1444947,-97.1004986,VALID,63.0
64XX I 35 DENTON TX ,33.2802739,-97.177933,VALID,64.0
4XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,65.0
11XX E HICKORY ST DENTON TX ,33.2144196,-97.1253362,VALID,66.0
20XX HOUSTON PL DENTON TX ,33.2177455,-97.1561587,VALID,67.0
E OAK ST DENTON TX ,33.2153379,-97.124989,VALID,68.0
N LOCUST ST DENTON TX ,33.256469,-97.1316417,VALID,69.0
5XX S ELM ST DENTON TX ,33.2101561,-97.1337726,VALID,70.0
I 35 DENTON TX ,33.2802739,-97.177933,VALID,71.0
N LOOP 288 DENTON TX ,33.2584052,-97.1428634,VALID,72.0
20XX PAISLEY ST DENTON TX ,33.2207581,-97.1094508,VALID,73.0
1XX S ELM ST DENTON TX ,33.2101561,-97.1337726,VALID,74.0
7XX S I 35 E DENTON TX ,33.1814754,-97.102065,VALID,75.0
24XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,76.0
35XX OCEANVIEW DR DENTON TX ,33.1742407,-97.0786109,VALID,77.0
9XX W EAGLE DR DENTON TX ,33.206632,-97.14474,VALID,78.0
44XX I 35 DENTON TX ,33.2802739,-97.177933,VALID,79.0
21XX SPENCER RD DENTON TX ,33.1959056,-97.0987982,VALID,80.0
DALLAS DR DENTON TX ,33.1993677,-97.1242105,VALID,81.0
9XX SIERRA DR DENTON TX ,33.2479414,-97.1193666,VALID,82.0
S I 35 E DENTON TX ,33.1814754,-97.102065,VALID,83.0
4XX N BELL AVE DENTON TX ,33.2310843,-97.1272288,VALID,84.0
65XX W SHADY SHORES RD DENTON TX ,33.1640049,-97.0722153,VALID,85.0
47XX SHAGBARK DR DENTON TX ,33.1708229,-97.1663811,VALID,86.0
4XX N WOOD ST DENTON TX ,33.2179707,-97.1190058,VALID,87.0
8XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,88.0
89XX I 35 DENTON TX ,33.2802739,-97.177933,VALID,89.0
28XX NOTTINGHAM DR DENTON TX ,33.2389117,-97.1066916,VALID,90.0
12XX MCDONALD DR DENTON TX ,33.2043802,-97.1176706,VALID,91.0
17XX GREENWOOD DR DENTON TX ,33.2353581,-97.1173887,VALID,92.0
25XX W HICKORY ST DENTON TX ,33.2146565,-97.1475676,VALID,93.0
10XX DALLAS DR DENTON TX ,33.1993677,-97.1242105,VALID,94.0
1XX S WOODROW LN DENTON TX ,33.2072363,-97.1120564,VALID,95.0
17XX TEASLEY LN DENTON TX ,33.1678163,-97.1103429,VALID,96.0
39XX BLACK BUTTE DR DENTON TX ,33.1522577,-97.0924374,VALID,97.0
N NORTH TEXAS BLVD DENTON TX ,33.2064112,-97.1534274,VALID,98.0
10XX S I 35 E DENTON TX ,33.1814754,-97.102065,VALID,99.0
38XX WATERFORD WAY DENTON TX ,33.1654878,-97.0883441,VALID,100.0
58XX NEW BALLINGER DR DENTON TX ,33.1404972,-97.1914758,VALID,101.0
BRINKER RD DENTON TX ,33.1883701,-97.095871,VALID,102.0
S BELL AVE DENTON TX ,33.2106727,-97.1303383,VALID,103.0
23XX W PRAIRIE ST DENTON TX ,33.2108511,-97.1550899,VALID,104.0
78XX MIRROR ROCK LN DENTON TX ,33.1440132,-97.1166313,VALID,105.0
9XX MCCORMICK ST DENTON TX ,33.1967075,-97.1474472,VALID,106.0
39XX TEASLEY LN DENTON TX ,33.1678163,-97.1103429,VALID,107.0
22XX N CARROLL BLVD DENTON TX ,33.2279879,-97.1368644,VALID,108.0
77XX ALDERS GATE LN DENTON TX ,33.1707863,-97.0588861,VALID,109.0
17XX PANHANDLE ST DENTON TX ,33.2216193,-97.1526645,VALID,110.0
15XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,111.0
1XX PRECISION DR DENTON TX ,33.2092495,-97.1734151,VALID,112.0
58XX GREENMEADOW DR DENTON TX ,33.1366182,-97.1922212,VALID,113.0
3XX DALLAS DR DENTON TX ,33.1993677,-97.1242105,VALID,114.0
7XX W COLLINS ST DENTON TX ,33.2041237,-97.1393456,VALID,115.0
94XX TOLEDO BEND DR DENTON TX ,33.1375329,-97.1864983,VALID,116.0
41XX SONOMA DR DENTON TX ,33.1707058,-97.173622,VALID,117.0
33XX N MASCH BRANCH RD DENTON TX ,33.2304372,-97.1972384,VALID,118.0
24XX CHARLOTTE ST DENTON TX ,33.2128177,-97.1597782,VALID,119.0
32XX TAMARACK LN DENTON TX ,33.1692002,-97.1625201,VALID,120.0
4XX CAMPBELL LN DENTON TX ,33.2181214,-97.1125522,VALID,121.0
18XX TEASLEY LN DENTON TX ,33.1678163,-97.1103429,VALID,122.0
32XX WAGON TRAIL DR DENTON TX ,33.2105967,-97.0983387,VALID,123.0
31XX BANDERA ST DENTON TX ,33.2313113,-97.1757808,VALID,124.0
19XX BURNING TREE LN DENTON TX ,33.2427004,-97.1039571,VALID,125.0
5XX S LOOP 288 DENTON TX ,33.1970392,-97.0919826,VALID,126.0
2XX W OAK ST DENTON TX ,33.2157359,-97.1545246,VALID,127.0
3XX S WOODROW LN DENTON TX ,33.2072363,-97.1120564,VALID,128.0
2XX S MAYHILL RD DENTON TX ,33.1922091,-97.0856294,VALID,129.0
7XX S ELM ST DENTON TX ,33.2101561,-97.1337726,VALID,130.0
20XX BURNING TREE LN DENTON TX ,33.2427004,-97.1039571,VALID,131.0
23XX SAN JACINTO BLVD DENTON TX ,33.1923138,-97.1093771,VALID,132.0
23XX NORTHWAY DENTON TX ,33.2381598,-97.1645905,VALID,133.0
1XX N I 35 E DENTON TX ,33.2036084,-97.1504619,VALID,134.0
32XX BROOKE ST DENTON TX ,33.2470824,-97.1365697,VALID,135.0
11XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,136.0
34XX VALLEY VIEW RD DENTON TX ,33.25182,-97.1237732,VALID,137.0
14XX TEASLEY LN DENTON TX ,33.1678163,-97.1103429,VALID,138.0
W HIGHLAND ST DENTON TX ,33.2093173,-97.1443753,VALID,139.0
7XX JACKSON ST DENTON TX ,33.2074411,-97.1257632,VALID,140.0
12XX W HICKORY ST DENTON TX ,33.2146565,-97.1475676,VALID,141.0
36XX SALON CT DENTON TX ,33.1543277,-97.0965248,VALID,142.0
16XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,143.0
